name,equipment,primary_muscle,secondary_muscle,source,sourceType
Kettlebell Clean,Kettlebell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/45431101-Kettlebell-One-Arm-Clean_Weightlifting_small.jpg,image
Kettlebell Curl,Kettlebell,Biceps,None,None,None
Kettlebell Goblet Squat,Kettlebell,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05341101-Kettlebell-Goblet-Squat_thighs_small.jpg,image
Kettlebell High Pull,Kettlebell,Full Body,Traps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05481101-Kettlebell-Sumo-High-Pull_back_small.jpg,image
Kettlebell Shoulder Press,Kettlebell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/35721101-Kettlebell-Strict-Press_Shoulders_small.jpg,image
Kettlebell Snatch,Kettlebell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05421101-Kettlebell-One-Arm-Snatch_Shoulders_small.jpg,image
Kettlebell Swing,Kettlebell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05491101-Kettlebell-Swing_Kettlebell_small.jpg,image
Kettlebell Turkish Get Up,Kettlebell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05511101-Kettlebell-Turkish-Get-Up-(Squat-style)_Thighs_small.jpg,image
Kipping Pull Up,Machine,Lats,Upper Back,None,None
Knee Raise Parallel Bars,Machine,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/21261201-Captains-chair-leg-raise_Hips.mp4,video
Kneeling Pulldown (band),Machine,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/09051101-Band-kneeling-pulldown_Back_small.jpg,image
Kneeling Push Up,None,Chest,"Triceps, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/32111101-Kneeling-Push-up-(male)_small.jpg,image
L-Sit Hold,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14021201-L-sit_Waist.mp4,video
Landmine 180,Barbell,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05621201-Landmine-180_waist.mp4,video
Landmine Row,Barbell,Upper Back,Lats,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/32001201-Lever-Bent-over-Row-with-V-bar-(plate-loaded)_Back.mp4,video
Landmine Squat and Press,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/29761301-Landmine-Squat-and-Press_360.jpg,image
Lat Pulldown (Band),Resistance Band,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/09741101-Band-close-grip-pulldown_Back_small.jpg,image
Lat Pulldown (Cable),Machine,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01501201-Cable-Bar-Lateral-Pulldown_Back.mp4,video
Lat Pulldown (Machine),Machine,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05791201-Lever-Front-Pulldown_Back.mp4,video
Lat Pulldown - Close Grip (Cable),Machine,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/26161101-Cable-Lateral-Pulldown-with-V-bar_Back_small.jpg,image
Lateral Band Walks,Resistance Band,Glutes,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/24601101-Resistance-Band-Lateral-Walk_Hips_small.jpg,image
Lateral Box Jump,Other,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05641101-Lateral-Box-Jump_Plyometrics_small.jpg,image
Lateral Leg Raises,None,Glutes,None,None,None
Lateral Lunge,None,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/29721101-Side-Lunge_Thighs_small.jpg,image
Lateral Raise (Band),Resistance Band,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/09071101-Band-lateral-raise_Shoulders_small.jpg,image
Lateral Raise (Cable),Machine,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01781201-Cable-Lateral-Raise_shoulder.mp4,video
Lateral Raise (Dumbbell),Dumbbell,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03341201-Dumbbell-Lateral-Raise_shoulder.mp4,video
Lateral Raise (Machine),Machine,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05841201-Lever-Lateral-Raise_shoulder.mp4,video
Lateral Squat,None,Quadriceps,"Hamstrings, Glutes",None,None
Leg Extension (Machine),Machine,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05851201-Lever-Leg-Extension_Thighs.mp4,video
Leg Press (Machine),Machine,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07391201-Sled-45-Leg-Press_Hips.mp4,video
Leg Press Horizontal (Machine),Machine,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/22671201-Lever-Seated-Leg-Press_Thighs.mp4,video
Leg Raise Parallel Bars,Machine,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/29631101-Captains-Chair-Straight-Leg-Raise_Waist_small.jpg,image
Low Cable Fly Crossovers,Machine,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01791201-Cable-Low-Fly_Chest.mp4,video
Low Row (Suspension),Suspension,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10921101-Suspender-Row_Back_small.jpg,image
Lunge,None,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14601201-Walking-Lunge-Male_Hips.mp4,video
Lunge (Barbell),Barbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00541201-Barbell-Lunge_Thighs.mp4,video
Lunge (Dumbbell),Dumbbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03361201-Dumbbell-Lunge_Hips.mp4,video
Lying Knee Raise,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06171101-Lying-Hip-Leg-Raise-(on-floor)_Hips_small.jpg,image
Lying Leg Curl (Machine),Machine,Hamstrings,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05861201-Lever-Lying-Leg-Curl_Thighs.mp4,video
Lying Leg Raise,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11631201-Lying-Leg-Raise_Waist.mp4,video
Lying Neck Curls,None,Neck,None,None,None
Lying Neck Curls (Weighted),Plate,Neck,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10431201-Weighted-Lying-Neck-Flexion_neck.mp4,video
Lying Neck Extension,None,Neck,None,None,None
Lying Neck Extension (Weighted),Plate,Neck,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10421101-Weighted-Lying-Neck-Extension_neck_small.jpg,image
Meadows Rows (Barbell),Barbell,Upper Back,None,None,None
Mountain Climber,None,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06301101-Mountain-Climber_Cardio_small.jpg,image
Muscle Up,Machine,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14011101-Muscle-up-(on-vertical-bar)_Back_small.jpg,image
Negative Pull Up,None,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/47741201-Pull-up-(negative)-(female)_Back_.mp4,video
Nordic Hamstrings Curls,None,Hamstrings,Glutes,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/42041101-Resistance-Band-Assisted-Nordic-Hamstring-Curl_Thighs_small.jpg,image
Oblique Crunch,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06351201-Oblique-Crunches-Floor_Waist.mp4,video
One Arm Push Up,None,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07251201-Single-Arm-Push-up_Chest.mp4,video
Overhead Curl (Cable),Machine,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/16361101-Cable-Overhead-Curl_Upper-Arms_small.jpg,image
Overhead Dumbbell Lunge,Dumbbell,Quadriceps,"Hamstrings, Glutes",None,None
Overhead Press (Barbell),Barbell,Shoulders,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11651201-Barbell-Standing-Military-Press-(without-rack)_Shoulders.mp4,video
Overhead Press (Dumbbell),Dumbbell,Shoulders,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04261201-Dumbbell-Standing-Overhead-Press_shoulder.mp4,video
Overhead Press (Smith Machine),Machine,Shoulders,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12241201-Smith-Standing-Shoulder-Press_Shoulders.mp4,video
Overhead Squat,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00691101-Barbell-Overhead-Squat_Thighs_small.jpg,image
Pause Squat (Barbell),Barbell,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/50161201-Barbell-Pause-Full-Squat_Thighs_.mp4,video
Pendlay Row (Barbell),Barbell,Upper Back,None,None,None
Pendulum Squat (Machine),Machine,Quadriceps,"Glutes, Calves",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/49511201-Lever-Pendulum-Squat-(plate-loaded)_Thighs_.mp4,video
Pike Pushup,None,Triceps,Shoulders,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/29211101-Pike-Push-up_Chest_small.jpg,image
Pilates,None,Full Body,None,None,None
Pinwheel Curl (Dumbbell),Dumbbell,Biceps,None,None,None
Pistol Squat,None,Quadriceps,"Hamstrings, Glutes, Calves",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/17591101-Single-Leg-Squat-(pistol)-male_Thighs_small.jpg,image
Plank,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04631201-Front-Plank-m_waist.mp4,video
Plank Pushup,None,Chest,Abdominals,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/28901101-Front-Plank-to-Push-up-(female)_small.jpg,image
Plate Curl,Plate,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08531101-Weighted-Standing-Curl_Forearms_small.jpg,image
Plate Front Raise,Plate,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08341201-Weighted-Front-Raise_Shoulders.mp4,video
Plate Press,Plate,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12251101-Standing-Plate-Presses_Shoulders_small.jpg,image
Plate Squeeze (Svend Press),Plate,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08561201-Weighted-Svend-Press_Chest.mp4,video
Power Clean,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06481201-Power-Clean_Thighs.mp4,video
Power Snatch,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/15301101-Barbell-Power-Snatch_Weightlifts_small.jpg,image
Preacher Curl (Barbell),Barbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00701201-Barbell-Preacher-Curl_Upper-Arms.mp4,video
Preacher Curl (Dumbbell),Dumbbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04021201-Dumbbell-Seated-Preacher-Curl_Upper-Arms.mp4,video
Preacher Curl (Machine),Machine,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05921201-Lever-Preacher-Curl_Upper-Arms.mp4,video
Press Under,Barbell,Full Body,None,None,None
Pull Up,Machine,Lats,Upper Back,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06521201-Pull-up_Back.mp4,video
Pull Up (Assisted),Machine,Lats,Upper Back,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00171201-Assisted-Pull-up_Back.mp4,video
Pull Up (Band),Resistance Band,Lats,Upper Back,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/09701301-Band-assisted-pullup_Back_small.jpg,image
Pull Up (Weighted),Machine,Lats,Upper Back,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08411101-Weighted-Pull-Up_back_small.jpg,image
Pullover (Dumbbell),Dumbbell,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03751201-Dumbbell-Pullover_Chest.mp4,video
Pullover (Machine),Machine,Chest,Lats,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/22851201-Lever-Pullover-(plate-loaded)_Back_.mp4,video
Push Press,Barbell,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12001201-Push-Press_Shoulders.mp4,video
Push Up,None,Chest,"Triceps, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06621201-Push-up-m_Chest.mp4,video
Push Up (Weighted),None,Chest,"Triceps, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11721201-Assisted-Weighted-Push-up_Chest.mp4,video
Push Up - Close Grip,None,Chest,"Triceps, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02591201-Close-Grip-Push-up_Upper-Arms.mp4,video
Rack Pull,Barbell,Lower Back,"Glutes, Quadriceps, Hamstrings",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00741101-Barbell-Rack-Pull_Hips-FIX_small.jpg,image
Rear Delt Reverse Fly (Cable),Machine,Upper Back,Shoulders,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02251101-Cable-Standing-Cross-over-High-Reverse-Fly_Shoulders_small.jpg,image
Rear Delt Reverse Fly (Dumbbell),Dumbbell,Upper Back,Shoulders,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/24871101-Dumbbell-Rear-Delt-Fly-(female)_Shoulders_small.jpg,image
Rear Delt Reverse Fly (Machine),Machine,Upper Back,Shoulders,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06021201-Lever-Seated-Reverse-Fly_Shoulders.mp4,video
Renegade Row (Dumbbell),Dumbbell,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05211101-Kettlebell-Alternating-Renegade-Row_back_small.jpg,image
Reverse Crunch,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08721201-Reverse-Crunch-m_waist.mp4,video
Reverse Curl (Barbell),Barbell,Biceps,Forearms,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00801201-Barbell-Reverse-Curl_Forearm.mp4,video
Reverse Curl (Cable),Machine,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02061201-Cable-Reverse-Curl_Forearm.mp4,video
Reverse Curl (Dumbbell),Dumbbell,Biceps,Forearms,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03821201-Dumbbell-Revers-grip-Biceps-Curl_Forearms.mp4,video
Reverse Fly Single Arm (Cable),Machine,Upper Back,Shoulders,None,None
Reverse Grip Concentration Curl,Dumbbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04031101-Dumbbell-Seated-Revers-grip-Concentration-Curl_Forearms_small.jpg,image
Reverse Grip Lat Pulldown (Cable),Machine,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02081201-Cable-Reverse-grip-Straight-Back-Seated-High-Row_Back.mp4,video
Reverse Hyperextension,Machine,Glutes,Hamstrings,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05931201-Lever-Reverse-Hyperextension-(plate-loaded)_Hips.mp4,video
Reverse Lunge,None,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/15811101-Bodyweight-Rear-Lunge_Thighs_small.jpg,image
Reverse Lunge (Barbell),Barbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00781101-Barbell-Rear-Lunge_Thighs_small.jpg,image
Reverse Lunge (Dumbbell),Dumbbell,Hamstrings,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03811201-Dumbbell-Rear-Lunge_Thighs.mp4,video
Reverse Plank,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08671201-Reverse-plank_Back.mp4,video
Ring Dips,None,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06771101-Ring-Dips_Upper-Arms_small.jpg,image
Romanian Deadlift (Barbell),Barbell,Hamstrings,Glutes,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/22131201-Barbell-Romanian-Deadlift-(female)_Hips.mp4,video
Romanian Deadlift (Dumbbell),Dumbbell,Hamstrings,Glutes,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14591201-Dumbbell-Romanian-Deadlift_Hips.mp4,video
Rope Cable Curl,Machine,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01651101-Cable-Hammer-Curl-(with-rope)-m_Forearms_small.jpg,image
Rope Straight Arm Pulldown,Machine,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02371201-Cable-Straight-Arm-Pulldown-(with-rope)_Back.mp4,video
Rowing Machine,Machine,Cardio,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/22701201-Rowing-Straight-Back-(with-rowing-machine)-(female)_Cardio.mp4,video
Running,None,Cardio,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/21961201-Run-(female)_Cardio.mp4,video
Russian Twist (Bodyweight),None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06871201-Russian-Twist_waist.mp4,video
Russian Twist (Weighted),Plate,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/23711201-Weighted-Russian-Twist_Waist.mp4,video
Scapular Pull Ups,None,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06881101-Scapular-Pull-Up_back_small.jpg,image
Seated Cable Row - Bar Grip,Machine,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01801201-Cable-Low-Seated-Row_Back.mp4,video
Seated Cable Row - Bar Wide Grip,Machine,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02181201-Cable-Seated-Wide-grip-Row_Back.mp4,video
Seated Cable Row - V Grip (Cable),Machine,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/26611201-Cable-Seated-Row-with-V-bar_Back.mp4,video
Seated Calf Raise,Machine,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05941201-Lever-Seated-Calf-Raise-(plate-loaded).mp4,video
Seated Chest Flys (Cable),Machine,Chest,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/38691101-Cable-Seated-Chest-Fly_Chest_small.jpg,image
Seated Dip Machine,Machine,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14511201-Lever-Seated-Dip_Upper-Arms.mp4,video
Seated Incline Curl (Dumbbell),Dumbbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03151201-Dumbbell-Incline-Biceps-Curl_Upper-Arms.mp4,video
Seated Lateral Raise (Dumbbell),Dumbbell,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03961201-Dumbbell-Seated-Lateral-Raise_shoulder.mp4,video
Seated Leg Curl (Machine),Machine,Hamstrings,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05991201-Lever-Seated-Leg-Curl_Thighs.mp4,video
Seated Overhead Press (Barbell),Barbell,Shoulders,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00911101-Barbell-Seated-Overhead-Press_Shoulders_small.jpg,image
Seated Overhead Press (Dumbbell),Dumbbell,Shoulders,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02901201-Dumbbell-Bench-Seated-Press_Shoulders.mp4,video
Seated Palms Up Wrist Curl,Dumbbell,Forearms,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/0401-seated-palms-up-wrist-curl.jpg,image
Seated Row (Machine),Machine,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/22651201-Lever-Seated-Row-(version-2)_Back.mp4,video
Seated Shoulder Press (Machine),Machine,Shoulders,Triceps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14541201-Lever-Seated-Shoulder-Press_Shoulders.mp4,video
Seated Triceps Press,Machine,Triceps,None,None,None
Seated Wrist Extension (Barbell),Barbell,Forearms,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00791201-Barbell-Revers-Wrist-Curl-II_Forearms.mp4,video
Shoulder Press (Dumbbell),Dumbbell,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04051201-Dumbbell-Seated-Shoulder-Press_Shoulders.mp4,video
Shoulder Press (Machine Plates),Machine,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05871201-Lever-Military-Press-(plate-loaded)_shoulder.mp4,video
Shoulder Taps,None,Shoulders,Abdominals,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06991201-Shoulder-Tap-Push-up_Plyometrics.mp4,video
Shrug (Barbell),Barbell,Traps,Neck,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00951201-Barbell-Shrug_Back.mp4,video
Shrug (Cable),Machine,Traps,Neck,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02201201-Cable-Shrug_Back.mp4,video
Shrug (Dumbbell),Dumbbell,Traps,Neck,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04061201-Dumbbell-Shrug_Back.mp4,video
Shrug (Machine),Machine,Traps,Neck,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06041201-Lever-Shrug-(plate-loaded)_Back.mp4,video
Shrug (Smith Machine),Machine,Traps,Neck,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07461201-Smith-Back-Shrug_Back.mp4,video
Side Bend,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00021201-45-Side-Bend_Waist.mp4,video
Side Bend (Dumbbell),Dumbbell,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04071201-Dumbbell-Side-Bend_Waist.mp4,video
Side Plank,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07151201-Side-Plank-m_Waist.mp4,video
Single Arm Cable Crossover,Machine,Chest,None,None,None
Single Arm Cable Row,Machine,Upper Back,None,None,None
Single Arm Curl (Cable),Machine,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01901101-Cable-One-Arm-Curl_Upper-Arms_small.jpg,image
Single Arm Landmine Press (Barbell),Barbell,Shoulders,None,None,None
Single Arm Lat Pulldown,Machine,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12041101-Cable-one-arm-lat-pulldown_back_small.jpg,image
Single Arm Lateral Raise (Cable),Machine,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01921201-Cable-One-Arm-Lateral-Raise_Shoulders.mp4,video
Single Arm Tricep Extension (Dumbbell),Dumbbell,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03621201-Dumbbell-One-Arm-Triceps-Extension-(on-bench)_Upper-Arms.mp4,video
Single Arm Triceps Pushdown (Cable),Machine,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/50331201-Cable-Single-Arm-Triceps-Pushdown-(rope-attachment.mp4,video
Single Leg Extensions,Machine,Quadriceps,None,None,None
Single Leg Glute Bridge,None,Glutes,None,None,None
Single Leg Hip Thrust,None,Glutes,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/20711101-Single-Leg_Hip-Thrusts_Hips_small.jpg,image
Single Leg Hip Thrust (Dumbbell),Dumbbell,Glutes,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/47551101-Dumbbell-Single-Leg-Hip-Thrust_Hips_small.jpg,image
Single Leg Press (Machine),Machine,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08831201-Lever-Horizontal-One-leg-Press_Hips.mp4,video
Single Leg Romanian Deadlift (Barbell),Barbell,Hamstrings,Glutes,None,None
Single Leg Romanian Deadlift (Dumbbell),Dumbbell,Hamstrings,Glutes,None,None
Single Leg Standing Calf Raise,None,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/13731101-Bodyweight-Standing-Calf-Raise_Calves_small.jpg,image
Single Leg Standing Calf Raise (Barbell),Barbell,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01081101-Barbell-Standing-Leg-Calf-Raise_Calf_small.jpg,image
Single Leg Standing Calf Raise (Dumbbell),Dumbbell,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04171201-Dumbbell-Standing-Calf-Raise_Calves.mp4,video
Single Leg Standing Calf Raise (Machine),Machine,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06051201-Lever-Standing-Calf-Raise_Calves.mp4,video
Sissy Squat (Weighted),None,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08511201-Weighted-Sissy-Squat_Thighs.mp4,video
Sit Up,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00011201-3-4-Sit-up_Waist.mp4,video
Sit Up (Weighted),None,Abdominals,None,None,None
Skating,None,Cardio,None,None,None
Skiing,None,Cardio,None,None,None
Skullcrusher (Barbell),Barbell,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00351101-Barbell-Decline-Close-Grip-To-Skull-Press_Upper-Arms_small.jpg,image
Skullcrusher (Dumbbell),Dumbbell,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03511101-Dumbbell-Lying-Triceps-Extension_Upper-Arms_small.jpg,image
Sled Push,Other,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/25241201-Power-Sled-Push-(female)_Thighs.mp4,video
Snatch,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/15331101-Barbell-Snatch_Weightlifts_small.jpg,image
Snowboarding,None,Cardio,None,None,None
Spider Curl (Barbell),Barbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00721201-Barbell-Prone-Incline-Curl_Upper-Arms.mp4,video
Spider Curl (Dumbbell),Dumbbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03741201-Dumbbell-Prone-Incline-Curl_Upper-Arms.mp4,video
Spiderman,None,Abdominals,None,None,None
Spinning,Machine,Cardio,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/22791201-Stationary-Bike-Run-(version-4)_Cardio.mp4,video
Split Jerk,Barbell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/15381101-Barbell-Split-Jerk_Weightlifts_small.jpg,image
